event_edition_id,event_name,event_category,registration_type,start_date,end_date,venue,city,event_tags
12140,Absolute Madness NYE 2016,Entertainment,Paid,2015-12-31 20:00:00,2015-12-31 00:00:00,Ramada Hotel Elliots Hall,Chennai,Music and Dance
12148,Casino Royale 2016,Entertainment,Paid,2015-12-31 19:00:00,2015-12-31 00:00:00,Fiat Caffe,Bengaluru,Music and Dance
12149,A-List NYE 2016,Entertainment,Paid,2015-12-31 20:00:00,2015-12-31 00:00:00,Aloft Hotel,Bengaluru,Music and Dance
12153,Ran-O-Thon,Sports,Paid,2016-01-17 06:00:00,2016-01-17 00:00:00,Morabadi,Ranchi,Sports
12169,Nenje Ezhu - Madurai,Entertainment,Paid,2016-01-31 18:00:00,2016-01-31 21:00:00,Ring Road,Madurai,Music and Dance
12174,New Year Eve 2016 ,Entertainment,Paid,2015-12-31 20:00:00,2015-12-31 01:00:00,The Park Hotel,Chennai,Music and Dance
12187,Marina Runnerz Marathon - 5K ,Sports,Paid,2016-02-28 06:00:00,2016-02-28 00:00:00,Swamy Sivananda Salai,Chennai,Sports
12188,Marina Runnerz Marathon - 10K ,Sports,Paid,2016-02-28 05:30:00,2016-02-28 00:00:00,Swamy Sivananda Salai,Chennai,Sports
12189,Half Marathon - Marina Runnerz Marathon,Sports,Paid,2016-02-28 05:00:00,2016-02-28 00:00:00,Swamy Sivananda Salai,Chennai,Sports
12194,CycloRun,Sports,Free,2016-01-10 05:15:00,2016-01-10 00:00:00,Bharatiya Vidya Bhavans School,Chennai,Sports
12198,The Quad’s Fat Loss Challenge Q1 2016,Entertainment,Paid,2016-01-11 00:00:00,2016-01-11 00:00:00,This is an online event,Chennai,Contests
12199,Laugh OK Please 23rd Jan,Entertainment,Paid,2016-01-23 19:30:00,2016-01-23 00:00:00,Phoenix Market City ,Chennai,Comedy
12220,Tour De Rotary,Sports,Paid,2016-02-07 05:00:00,2016-02-07 00:00:00,College of Enginering,Chennai,Sports
12222,Marina Runnerz Marathon - Volunteers,Sports,Free,2016-02-28 05:00:00,2016-02-28 00:00:00,Swami Sivananda Salai,Chennai,Sports
12241,Music Behind the Scenes 3pm ,Entertainment,Free,2016-01-22 15:00:00,2016-01-22 00:00:00,Edouard Michelin Auditorium,Chennai,Music and Dance
12245,Raag Roop Aur Rang,Entertainment,Paid,2016-02-27 18:15:00,2016-02-27 00:00:00,Narada Gana Sabha,Chennai,Music and Dance
12260,Kaizen Robotics Program,Conferences,Paid,2016-02-07 09:00:00,2016-03-13 00:00:00,IIT Madras Research Park,Chennai,Learning & Workshops
12262,Gurgaon Promo Run,Sports,Free,2016-01-26 07:30:00,2016-01-26 09:30:00,Aravalli Biodiversity Park,Gurgaon,Sports Other
12264,4th Adidas Training Run ,Sports,Free,2016-01-24 06:30:00,2016-01-24 09:30:00,Jawaharlal Nehru stadium,Delhi,Sports
12272,Rock For Vision,Entertainment,Paid,2016-02-28 17:30:00,2016-02-28 00:00:00,Sir Mutha Venkatasubba Rao Concert Hall,Chennai,Music and Dance
12273,The Quads T-Shirts,Merchandise,Paid,2016-01-25 00:00:00,2016-02-07 00:00:00,Online,Chennai,Merchandise
12283,Halo Wings,Sports,Paid,2016-02-07 05:45:00,2016-02-07 00:00:00,Anna University Sports Ground,Chennai,Sports
12284,FAMILY MANAGED BUSINESS,Conferences,Paid,2016-02-20 09:30:00,2016-03-21 17:30:00,The Rain Tree,Chennai,Learning & Workshops
12289,My French Film Festival - Feb 8th,Entertainment,Free,2016-02-08 17:00:00,2016-02-08 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre
12290,My French Film Festival - Feb 9th,Entertainment,Free,2016-02-09 17:00:00,2016-02-09 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre
12291,Film - Coup de chaud,Entertainment,Free,2016-02-09 19:00:00,2016-02-09 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre
12292,Film - Caprice,Entertainment,Free,2016-02-08 19:00:00,2016-02-08 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre
12293,Film - La Belle Saison,Entertainment,Free,2016-02-10 16:30:00,2016-02-10 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre
12294,Film - LAffaire SK1,Entertainment,Free,2016-02-10 19:00:00,2016-02-10 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre
12295,Film - Les Chateâux de sables,Entertainment,Free,2016-02-11 19:00:00,2016-02-11 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre
12297,Superchef - Kids team (of 2),Entertainment,Paid,2016-02-27 08:00:00,2016-02-28 00:00:00,The Park,Chennai,Contests
12298,Superchef - Adult Individual,Entertainment,Paid,2016-02-27 08:00:00,2016-02-28 00:00:00,The Park,Chennai,Contests
12303,Sand Sculpting,Sports,Free,2016-02-07 13:00:00,2016-02-07 15:00:00,Marina Beach,Chennai,Sports
12305,G3 Valentines Day Ride ,Sports,Paid,2016-02-14 05:00:00,2016-02-14 00:00:00,Turiyaa,Chennai,Sports Other
12309,Ciné Club - Le Dernier Diamant,Entertainment,Free,2016-02-25 16:30:00,2016-02-25 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre
12311,Kalki - in Ponniyin Selvan,Entertainment,Paid,2016-02-21 18:00:00,2016-02-21 21:00:00,Narada Gana Sabha A/c,Chennai,Theatre
12317,10K- Marina Runnerz Marathon Offline,Sports,Paid,2016-02-28 05:00:00,2016-02-28 00:00:00,Swami Sivananda Salai,Chennai,Sports
12320,5K - Marina Runnerz Marathon Offline ,Sports,Paid,2016-02-28 06:00:00,2016-02-28 00:00:00,Swami Sivananda Salai,Chennai,Sports
12321,AUTO RENOVATE,Conferences,Paid,2016-03-12 09:00:00,2016-03-13 17:00:00,"College of Engineering,Guindy",Chennai,Learning & Workshops
12327,TCS ~ Ridley Run ‘16 ,Sports,Paid,2016-02-21 06:00:00,2016-02-21 08:00:00,Marina Beach,Chennai,Sports
12337,10 K - Cool Runners Half marathon ,Sports,Paid,2016-03-20 05:45:00,2016-03-20 00:00:00,YMCA,Chennai,Sports
12338,Half Marathon - Cool Runners Half Marathon,Sports,Paid,2016-03-20 05:00:00,2016-03-20 00:00:00,YMCA,Chennai,Sports
12342,Dil Toh Baccha Hai Ji (Non Seated),Entertainment,Paid,2016-02-26 19:15:00,2016-02-26 00:00:00,Sir Mutha Venkatasubba Rao Concert Hall,Chennai,Comedy
12348,Kean 13 Feb,Entertainment,Free,2016-02-13 19:15:00,2016-02-13 00:00:00,Edouard Michelin Auditorium,Chennai,Theatre
12357,Radio Mirchi Holi Run Chennai,Sports,Paid,2016-03-27 06:00:00,2016-03-27 00:00:00,YMCA,Chennai,Sports
12368,Aikya 2016,Entertainment,Paid,2016-03-11 19:30:00,2016-03-11 00:00:00,The Music Academy,Chennai,Music and Dance
12383,Test,Sports,Free,2016-02-20 00:00:00,2016-02-20 01:00:00,Test,Chennai,Sports
12418,KANCHI MAHAAN,Entertainment,Paid,2016-03-05 18:00:00,2016-03-05 00:00:00,Narada Gana Sabha,Chennai,Music and Dance
